"","duration","sdate","sstation","edate","estation","bikeno","client"
"344758","0h 9m 15s",2014-11-06 16:26:00,"15th & L St NW",2014-11-06 16:35:00,"15th & L St NW","W00169","Registered"
"113251","0h 47m 21s",2014-10-12 11:30:00,"3rd & D St SE",2014-10-12 12:17:00,"Jefferson Dr & 14th St SW","W01482","Registered"
"633756","2h 46m 22s",2014-12-27 14:24:00,"10th & E St NW",2014-12-27 17:10:00,"10th & E St NW","W21346","Casual"
"466862","0h 15m 15s",2014-11-23 16:42:00,"4th & M St SW",2014-11-23 16:57:00,"5th & K St NW","W00647","Casual"
"474332","0h 18m 33s",2014-11-24 17:29:00,"1st & Washington Hospital Center NW",2014-11-24 17:47:00,"Columbus Circle / Union Station","W21580","Registered"
"581597","0h 2m 36s",2014-12-15 13:11:00,"11th & Kenyon St NW",2014-12-15 13:14:00,"Park Rd & Holmead Pl NW","W21286","Registered"
"29385","0h 9m 35s",2014-10-03 16:32:00,"New York Ave & 15th St NW",2014-10-03 16:42:00,"L'Enfant Plaza / 7th & C St SW","W00449","Registered"
"149517","0h 8m 48s",2014-10-16 16:10:00,"6th St & Indiana Ave NW",2014-10-16 16:18:00,"7th & F St NW / National Portrait Gallery","W21103","Casual"
"565030","0h 6m 5s",2014-12-12 17:07:00,"King St & Patrick St",2014-12-12 17:13:00,"Braddock Rd Metro","W00206","Registered"
"176149","0h 10m 42s",2014-10-18 18:56:00,"8th & H St NW",2014-10-18 19:07:00,"18th St & Pennsylvania Ave NW","W20367","Registered"
"13449","0h 19m 10s",2014-10-02 09:20:00,"1st & K St SE",2014-10-02 09:39:00,"5th & F St NW","W00206","Registered"
"103044","0h 22m 0s",2014-10-10 17:35:00,"20th St & Virginia Ave NW",2014-10-10 17:57:00,"3rd & D St SE","W00033","Casual"
"367499","0h 8m 48s",2014-11-09 12:48:00,"19th & East Capitol St SE",2014-11-09 12:57:00,"13th & H St NE","W00300","Registered"
"454442","0h 12m 11s",2014-11-21 16:17:00,"John McCormack Dr & Michigan Ave NE",2014-11-21 16:29:00,"M St & Delaware Ave NE","W21171","Registered"
"570428","0h 2m 14s",2014-12-13 14:56:00,"5th & F St NW",2014-12-13 14:58:00,"8th & D St NW","W00629","Registered"
"542487","0h 7m 21s",2014-12-08 18:11:00,"5th St & Massachusetts Ave NW",2014-12-08 18:18:00,"Florida Ave & R St NW","W01068","Registered"
"48331","0h 7m 13s",2014-10-05 13:35:00,"Connecticut Ave & Tilden St NW",2014-10-05 13:42:00,"Connecticut Ave & Tilden St NW","W20486","Casual"
"142063","0h 3m 6s",2014-10-15 13:34:00,"21st & M St NW",2014-10-15 13:37:00,"22nd & I St NW / Foggy Bottom","W00966","Registered"
"401103","0h 21m 39s",2014-11-12 19:09:00,"10th St & Constitution Ave NW",2014-11-12 19:31:00,"Good Hope Rd & MLK Ave SE","W00170","Registered"
"584188","0h 22m 38s",2014-12-15 18:18:00,"15th & Euclid St  NW",2014-12-15 18:41:00,"8th & H St NW","W00975","Registered"
"12510","0h 12m 43s",2014-10-02 08:23:00,"Columbus Circle / Union Station",2014-10-02 08:36:00,"14th St & New York Ave NW","W20228","Registered"
"249141","0h 5m 8s",2014-10-26 21:07:00,"14th & Harvard St NW",2014-10-26 21:12:00,"New Hampshire Ave & T St NW","W00684","Registered"
"494730","0h 3m 41s",2014-11-29 18:21:00,"14th & Harvard St NW",2014-11-29 18:24:00,"14th & V St NW","W20768","Registered"
"140653","0h 9m 20s",2014-10-15 08:59:00,"Columbus Circle / Union Station",2014-10-15 09:08:00,"3rd & G St SE","W21613","Registered"
"155104","0h 5m 3s",2014-10-17 06:50:00,"Lamont & Mt Pleasant NW",2014-10-17 06:55:00,"15th & Euclid St  NW","W00978","Registered"
"223567","0h 10m 46s",2014-10-24 16:33:00,"Virginia Square Metro / N Monroe St & 9th St N",2014-10-24 16:44:00,"Wilson Blvd & Franklin Rd","W00843","Registered"
"593457","0h 3m 1s",2014-12-17 08:28:00,"14th & R St NW",2014-12-17 08:31:00,"Thomas Circle","W00097","Registered"
"137366","0h 14m 15s",2014-10-14 20:34:00,"15th & P St NW",2014-10-14 20:48:00,"1st & H St NW","W20272","Registered"
"26566","0h 9m 49s",2014-10-03 12:06:00,"15th & Euclid St  NW",2014-10-03 12:16:00,"17th St & Massachusetts Ave NW","W20227","Registered"
"305111","0h 20m 59s",2014-11-01 16:08:00,"Harvard St & Adams Mill Rd NW",2014-11-01 16:29:00,"7th & T St NW","W21430","Registered"
"299483","0h 9m 48s",2014-10-31 18:25:00,"North Capitol St & G Pl NE",2014-10-31 18:35:00,"13th & H St NE","W00417","Registered"
"550982","0h 10m 32s",2014-12-10 15:38:00,"North Capitol St & F St NW",2014-12-10 15:48:00,"Bladensburg Rd & Benning Rd NE","W01341","Registered"
"173436","0h 23m 2s",2014-10-18 15:40:00,"22nd & I St NW / Foggy Bottom",2014-10-18 16:03:00,"10th & E St NW","W20843","Casual"
"353548","0h 17m 0s",2014-11-07 16:09:00,"New York Ave & 15th St NW",2014-11-07 16:26:00,"18th St & Pennsylvania Ave NW","W20915","Casual"
"280071","0h 13m 51s",2014-10-29 19:45:00,"15th & P St NW",2014-10-29 19:59:00,"5th & K St NW","W20341","Registered"
"174651","0h 21m 24s",2014-10-18 16:55:00,"11th & F St NW",2014-10-18 17:16:00,"Lincoln Memorial","w01117","Casual"
"79240","0h 22m 38s",2014-10-08 14:15:00,"Massachusetts Ave & Dupont Circle NW",2014-10-08 14:38:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20501","Registered"
